Host,SMILES,H3K4,H3K4ac,H3K4me1,H3K4me2,H3K4me3,H3K9me3,H3R2me2a,H3R2me2s
AP6,OC1=C(C=C(C=C1CC2=C(C(C3)=CC(S(=O)(O)=O)=C2)O)C4=CC=C(C=C4)C(N[C@H](C(O)=O)CC(O)=O)=O)CC5=CC(S(=O)(O)=O)=CC(CC6=CC(S(=O)(O)=O)=CC3=C6O)=C5O,1,1,1,1,1,1,1,1
E3,OC1=C(CC2=CC(NC(C3=CC=C(C4=CC=CC=C4)C=C3)=O)=CC(C5)=C2O)C=C(S(=O)(O)=O)C=C1CC6=C(O)C(CC7=C(O)C5=CC(S(=O)(O)=O)=C7)=CC(S(=O)(O)=O)=C6,1,1,1,1,1,1,1,1
E6,OC1=C(CC2=CC(NC(OCC3=CC=CC=C3)=O)=CC(C4)=C2O)C=C(S(=O)(O)=O)C=C1CC5=C(O)C(CC6=C(O)C4=CC(S(=O)(O)=O)=C6)=CC(S(=O)(O)=O)=C5,1,1,1,1,1,2.718281828,2.718281828,1
PSC6,OC1=C2C=C(S(=O)(O)=O)C=C1CC3=C(O)C(CC4=CC(S(=O)(O)=O)=CC(CC5=CC(S(=O)(O)=O)=CC(CC6=CC(S(=O)(O)=O)=CC(CC(C=C(S(=O)(O)=O)C=C7C2)=C7O)=C6O)=C5O)=C4O)=CC(S(=O)(O)=O)=C3,1,1,1,1,1,1,1,1
AP7,OC1=C(C=C(C=C1CC2=C(C(C3)=CC(S(=O)(O)=O)=C2)O)C4=CC=C(C=C4)C(N[C@H](C(N)=O)CC(O)=O)=O)CC5=CC(S(=O)(O)=O)=CC(CC6=CC(S(=O)(O)=O)=CC3=C6O)=C5O,1,1,1,1,1,1,1,1
CP2,OC1=C(C=C(C2=CC=C(C(O)=O)C=C2)C=C1CC3=C(C(C4)=CC(S(=O)(O)=O)=C3)O)CC5=CC(C6=CC=C(C(O)=O)C=C6)=CC(CC7=CC(C8=CC=C(C(O)=O)C=C8)=CC4=C7O)=C5O,2.718281828,2.718281828,2.718281828,1,2.718281828,2.718281828,1,2.718281828
E5,OC1=C(CC2=CC(NC(C3=CC=C(Br)C=C3)=O)=CC(C4)=C2O)C=C(S(=O)(O)=O)C=C1CC5=C(O)C(CC6=C(O)C4=CC(S(=O)(O)=O)=C6)=CC(S(=O)(O)=O)=C5,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828
E7,OC1=C(CC2=CC(NC(C3=C(F)C(F)=C(F)C(F)=C3F)=O)=CC(C4)=C2O)C=C(S(=O)(O)=O)C=C1CC5=C(O)C(CC6=C(O)C4=CC(S(=O)(O)=O)=C6)=CC(S(=O)(O)=O)=C5,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828
BH2,OC1=C(C=C(C2=CC=CN=C2)C=C1CC3=C(C(C4)=CC(S(=O)(O)=O)=C3)O)CC5=CC(S(=O)(O)=O)=CC(CC6=CC(C7=CN=CC=C7)=CC4=C6O)=C5O,2.718281828,1,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828
PSC4,OC1=C(C=C(C=C1CC2=C(C(C3)=CC(S(=O)(O)=O)=C2)O)S(=O)(O)=O)CC4=CC(S(=O)(O)=O)=CC(CC5=CC(S(=O)(O)=O)=CC3=C5O)=C4O,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828
AH7,OC1=C(C=C(C=C1CC2=C(C(C3)=CC(S(=O)(O)=O)=C2)O)C4=CC=NC=C4)CC5=CC(S(=O)(O)=O)=CC(CC6=CC(S(=O)(O)=O)=CC3=C6O)=C5O,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828
E11,OC1=C(CC2=CC(NS(C3=C(F)C(F)=C(F)C(F)=C3F)(=O)=O)=CC(C4)=C2O)C=C(S(=O)(O)=O)C=C1CC5=C(O)C(CC6=C(O)C4=CC(S(=O)(O)=O)=C6)=CC(S(=O)(O)=O)=C5,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828
P-NO2,OC1=C(CC2=CC([N+]([O-])=O)=CC(C3)=C2O)C=C(S(=O)(O)=O)C=C1CC4=C(O)C(CC5=C(O)C3=CC(S(=O)(O)=O)=C5)=CC(S(=O)(O)=O)=C4,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828
E8,OC1=C(CC2=CC(NC(NC3=CC=C(C)C=C3)=S)=CC(C4)=C2O)C=C(S(=O)(O)=O)C=C1CC5=C(O)C(CC6=C(O)C4=CC(S(=O)(O)=O)=C6)=CC(S(=O)(O)=O)=C5,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828
AH6,OC1=C(C=C(C=C1CC2=C(C(C3)=CC(S(=O)(O)=O)=C2)O)C4=CN=CN4)CC5=CC(S(=O)(O)=O)=CC(CC6=CC(S(=O)(O)=O)=CC3=C6O)=C5O,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828
AH5,OC1=C(C=C(C=C1CC2=C(C(C3)=CC(S(=O)(O)=O)=C2)O)C4=CN=CN=C4)CC5=CC(S(=O)(O)=O)=CC(CC6=CC(S(=O)(O)=O)=CC3=C6O)=C5O,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828
AO1,OC1=C(C=C(C=C1CC2=C(C(C3)=CC(S(=O)(O)=O)=C2)O)C4=CC=CC=C4C)CC5=CC(S(=O)(O)=O)=CC(CC6=CC(S(=O)(O)=O)=CC3=C6O)=C5O,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828
AP1,OC1=C(C=C(C=C1CC2=C(C(C3)=CC(S(=O)(O)=O)=C2)O)C4=CC=C(CC(O)=O)C=C4)CC5=CC(S(=O)(O)=O)=CC(CC6=CC(S(=O)(O)=O)=CC3=C6O)=C5O,2.718281828,2.718281828,1,1,1,1,1,1
AP3,OC1=C(C=C(C=C1CC2=C(C(C3)=CC(S(=O)(O)=O)=C2)O)C4=CC=C(C(C)(C)C)C=C4)CC5=CC(S(=O)(O)=O)=CC(CC6=CC(S(=O)(O)=O)=CC3=C6O)=C5O,1,1,2.718281828,2.718281828,2.718281828,2.718281828,1,2.718281828
AP4,OC1=C(C=C(C=C1CC2=C(C(C3)=CC(S(=O)(O)=O)=C2)O)C4=CC=C(C)C=C4)CC5=CC(S(=O)(O)=O)=CC(CC6=CC(S(=O)(O)=O)=CC3=C6O)=C5O,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,1,2.718281828,2.718281828
E1,OC1=C(CC2=CC(NS(C3=CC=C(C(O)=O)C=C3)(=O)=O)=CC(C4)=C2O)C=C(S(=O)(O)=O)C=C1CC5=C(O)C(CC6=C(O)C4=CC(S(=O)(O)=O)=C6)=CC(S(=O)(O)=O)=C5,1,1,1,1,1,1,1,2.718281828
AP5,OC1=C(C=C(C=C1CC2=C(C(C3)=CC(S(=O)(O)=O)=C2)O)C4=CC=C(C5=CC=CC=C5)C=C4)CC6=CC(S(=O)(O)=O)=CC(CC7=CC(S(=O)(O)=O)=CC3=C7O)=C6O,2.718281828,2.718281828,2.718281828,2.718281828,1,1,1,2.718281828
AO2,OC1=C(CC2=CC(S(=O)(O)=O)=CC(C3)=C2O)C=C(C4=CC=CC=C4OC)C=C1CC5=C(O)C(CC6=C(O)C3=CC(S(=O)(O)=O)=C6)=CC(S(=O)(O)=O)=C5,2.718281828,2.718281828,1,2.718281828,1,1,2.718281828,2.718281828
DO2,OC1=C(CC2=CC(C3=C(OC)C=CC=C3)=CC(C4)=C2O)C=C(C5=CC=CC=C5OC)C=C1CC6=C(O)C(CC7=C(O)C4=CC(S(=O)(O)=O)=C7)=CC(S(=O)(O)=O)=C6,1,1,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828
AM2,OC1=C(C=C(C=C1CC2=C(C(C3)=CC(S(=O)(O)=O)=C2)O)C4=CC=CC(C(O)=O)=C4)CC5=CC(S(=O)(O)=O)=CC(CC6=CC(S(=O)(O)=O)=CC3=C6O)=C5O,1,2.718281828,1,1,1,1,1,1
AH2,OC1=C(C=C(C=C1CC2=C(C(C3)=CC(S(=O)(O)=O)=C2)O)C4=CC=CN=C4)CC5=CC(S(=O)(O)=O)=CC(CC6=CC(S(=O)(O)=O)=CC3=C6O)=C5O,1,1,1,2.718281828,2.718281828,2.718281828,2.718281828,1
BP0,OC1=C(C=C(C2=CC=CC=C2)C=C1CC3=C(C(C4)=CC(S(=O)(O)=O)=C3)O)CC5=CC(S(=O)(O)=O)=CC(CC6=CC(C7=CC=CC=C7)=CC4=C6O)=C5O,2.718281828,1,2.718281828,1,2.718281828,2.718281828,2.718281828,2.718281828
AO3,OC1=C(CC2=CC(S(=O)(O)=O)=CC(C3)=C2O)C=C(C4=CC=CC=C4F)C=C1CC5=C(O)C(CC6=C(O)C3=CC(S(=O)(O)=O)=C6)=CC(S(=O)(O)=O)=C5,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828
CP1,OC1=C(C=C(C2=CC=C(CC(O)=O)C=C2)C=C1CC3=C(C(C4)=CC(S(=O)(O)=O)=C3)O)CC5=CC(C6=CC=C(CC(O)=O)C=C6)=CC(CC7=CC(C8=CC=C(CC(O)=O)C=C8)=CC4=C7O)=C5O,2.718281828,1,2.718281828,2.718281828,2.718281828,2.718281828,1,1
AM1,OC1=C(C=C(C=C1CC2=C(C(C3)=CC(S(=O)(O)=O)=C2)O)C4=CC=CC(C(C)=O)=C4)CC5=CC(S(=O)(O)=O)=CC(CC6=CC(S(=O)(O)=O)=CC3=C6O)=C5O,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828,2.718281828
